SoC(%),Voltage(V)
98.10111941207428,4.118933203125
98.09587383459262,4.11882109375
98.09062825957426,4.118701171875
98.0853827005672,4.118657421875
98.08013713786522,4.118533984375
98.07489158008978,4.118481640625
98.06964609436531,4.11831328125
98.06440063512107,4.118218359375
98.05915517587685,4.118169921875
98.05390971663262,4.118070703125
98.04866427278388,4.118004296875
98.04341883694082,4.117865234375
98.03817333027844,4.117875
98.03292780575731,4.1177453125
98.02768226707231,4.11767421875
98.0224367253082,4.117577734375
98.01719116014294,4.117514453125
98.0119456571755,4.11734140625
98.00670018253577,4.117319921875
98.0014547312972,4.11721640625
97.99620929545412,4.117107421875
97.9909638183511,4.1170640625
97.98571829136668,4.11702109375
97.98047273605455,4.116884765625
97.97522717581585,4.116806640625
97.96998164513651,4.11671484375
97.96473616557022,4.116580859375
97.95949071063673,4.116496875
97.95424527356201,4.11644453125
97.94899980754377,4.1163640625
97.94375428794918,4.11629375
97.9385087437218,4.116227734375
97.93326317547744,4.1161484375
97.92801764110318,4.11601484375
97.9227721553787,4.115921484375
97.91752668320225,4.115833203125
97.91228123565858,4.115771484375
97.90703572037474,4.115712109375
97.90179017491573,4.115631640625
97.89654462329851,4.1155765625
97.89129905259088,4.115479296875
97.88605354346522,4.115296484375
97.88080803680286,4.11525859375
97.87556255969986,4.115155078125
97.87031709552906,4.115065625
97.86507157100792,4.11505859375
97.85982603355457,4.114934375
97.85458049179047,4.11487578125
97.84933495064217,4.11480703125
97.84408945937531,4.11462578125
97.83884398473558,4.114604296875
97.83359853842356,4.1145125
97.82835303915104,4.114433203125
97.82310749923441,4.114355859375
97.81786195008046,4.11431796875
97.81261637814119,4.1142171875
97.8073708801003,4.11407578125
97.8021253943758,4.113976953125
97.79687992835755,4.113941796875
97.79163444632799,4.11385390625
97.78638889840569,4.11377734375
97.78114335664159,4.113721484375
97.77589780009781,4.113652734375
97.77065228727724,4.113501953125
97.76540680771095,4.113455859375
97.76016133060796,4.113362890625
97.75491586335806,4.113298828125
97.74967032713633,4.1132625
97.7444247841406,4.11311484375
97.73917923744993,4.11309609375
97.73393368706435,4.113035546875
97.72868819210257,4.112861328125
97.72344271130466,4.112829296875
97.71819725082877,4.112769140625
97.71295177865231,4.112640234375
97.70770623319332,4.112665625
97.70246066925968,4.112544921875
97.6972150942413,4.1124578125
97.69196952722858,4.11236171875
97.68672401933458,4.112255078125
97.68147852929935,4.1122140625
97.6762330571229,4.1120953125
97.67098760834762,4.112011328125
97.66574208998468,4.112019140625
97.66049654822058,4.111887109375
97.65525099906662,4.11185546875
97.6500054437545,4.11173046875
97.64475990753276,4.111659375
97.63951442303993,4.11151796875
97.63426895579003,4.1114765625
97.62902349531416,4.11140234375
97.62377805146542,4.11129140625
97.61853253063921,4.1112921875
97.6132869974966,4.111214453125
97.60804145326921,4.111111328125
97.60279588933558,4.1110328125
97.59755037774666,4.1109171875
97.59230490680186,4.110887109375
97.58705945063672,4.1107671875
97.58181399323995,4.11071875
97.57656850628382,4.1106890625
97.57132295589824,4.11061015625
97.56607740058611,4.110504296875
97.56083184896889,4.1104125
97.55558631582626,4.1103671875
97.55034082579104,4.1102578125
97.54509533452416,4.110184375
97.53984985618953,4.1101390625
97.53460436923339,4.1100015625
97.52935882254272,4.11002109375
97.52411325984075,4.10989140625
97.51886768605402,4.10982265625
97.51362211411474,4.109803125
97.50837660252581,4.10960234375
97.50313111433806,4.109575390625
97.49788565386217,4.10950546875
97.49264019892868,4.109424609375
97.48739467194427,4.109414453125
97.48214912279032,4.1093109375
97.47690356501492,4.10926328125
97.47165799800219,4.1091828125
97.46641249749803,4.109075390625
97.4611669957622,4.10900546875
97.45592150880609,4.108942578125
97.45067603047144,4.108855078125
97.44543048501241,4.10883515625
97.44018491984716,4.1087359375
97.43493934113387,4.10867265625
97.42969378582171,4.108553125
97.4244482865492,4.108466015625
97.41920281683602,4.10842421875
97.41395736436581,4.108312890625
97.40871184908198,4.1083328125
97.40346631840264,4.1082015625
97.39822076555377,4.108144921875
97.39297522440549,4.108063671875
97.38772974853414,4.107961328125
97.38248428251588,4.107924609375
97.37723884113042,4.1077890625
97.37199335171101,4.107787109375
97.36674782472659,4.107698828125
97.36150228604158,4.107648828125
97.35625672087633,4.107610546875
97.35101121421397,4.107445703125
97.34576572417875,4.107384765625
97.3405202680136,4.10735078125
97.33527483217054,4.107244140625
97.33002932304487,4.107240625
97.32478380221866,4.107106640625
97.31953827153932,4.10705625
97.31429274209161,4.106978515625
97.30904726375697,4.106838671875
97.30380179527543,4.106818359375
97.29855635943235,4.106737109375
97.2933108897192,4.106701953125
97.28806536889297,4.106651171875
97.28281982466558,4.106588671875
97.27757426935345,4.10648671875
97.27232874606395,4.10639140625
97.26708326280274,4.106325
97.2618378066376,4.106273046875
97.25659237818438,4.106159765625
97.25134687644858,4.10621171875
97.2461013297579,4.10610859375
97.24085577075084,4.106036328125
97.23561020435395,4.105961328125
97.23036471431872,4.105828125
97.22511924583719,4.1057921875
97.21987378967206,4.105736328125
97.2146283513657,4.105631640625
97.2093828434717,4.105617578125
97.2041373017076,4.105520703125
97.19889175871185,4.105488671875
97.19364621756358,4.1054140625
97.18840073430238,4.105278125
97.18315526951578,4.10526796875
97.17790981827719,4.10518984375
97.17266434240584,4.1051515625
97.16741881665304,4.105069921875
97.16217326749911,4.105010546875
97.15692770849203,4.10494453125
97.15168220429295,4.10481328125
97.1464367321165,4.104765234375
97.14119127841465,4.10469765625
97.1359458247128,4.104619140625
97.13070030019166,4.10465234375
97.125454753501,4.1045421875
97.12020918648828,4.10447421875
97.11496363733436,4.104353515625
97.10971812574543,4.1042984375
97.1044726511057,4.10424375
97.0992272060253,4.10413984375
97.09398170305786,4.104192578125
97.08873616437288,4.104103125
97.08349061891384,4.10400625
97.0782450697599,4.10394609375
97.0729995680241,4.10385859375
97.06775408722619,4.103814453125
97.0625086230554,4.103739453125
97.05726310777155,4.103732421875
97.05201755369104,4.103630859375
97.04677198852578,4.103562890625
97.04152644553004,4.10350703125
97.03628095980555,4.103405078125
97.03103549009239,4.103294921875
97.02579005794422,4.1032265625
97.02054456544572,4.103235546875
97.01529905016187,4.10313671875
97.01005351394016,4.103121875
97.00480802575238,4.102973828125
96.99956255973413,4.102937109375
96.994317103569,4.102866015625
96.98907158151114,4.102871484375
96.98382603728376,4.102767578125
96.97858048812982,4.10272734375
96.97333499008893,4.102577734375
96.96808951791247,4.10253671875
96.96284407652703,4.10248046875
96.95759857725452,4.10249765625
